Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:GLYMA_01G020700,0,0,0,0
gene:GLYMA_01G020800,0,26,0,31
gene:GLYMA_01G020900,0,93,0,93
gene:GLYMA_01G021000,0,0,0,0
gene:GLYMA_01G021100,2,4,3,5
gene:GLYMA_01G021200,3,38,10,64
gene:GLYMA_01G021300,40,38,66,68
gene:GLYMA_01G021400,160,132,255,272
gene:GLYMA_01G021500,0,0,0,0
gene:GLYMA_01G021600,232,261,351,366
gene:GLYMA_01G021700,0,0,0,0
gene:GLYMA_01G021800,0,0,0,9
gene:GLYMA_01G021900,0,0,0,0
gene:GLYMA_01G022000,0,0,0,0
gene:GLYMA_01G022100,553,735,714,862
gene:GLYMA_01G022200,0,0,0,0
gene:GLYMA_01G022300,2,2,2,2
gene:GLYMA_01G0224002,56,28,79,38
gene:GLYMA_01G0224001,106,101,158,117
gene:GLYMA_01G022500,5,50,37,95
gene:GLYMA_01G022600,111,140,138,167
gene:GLYMA_01G022700,411,129,1026,170
gene:GLYMA_01G0228002,0,0,0,0
gene:GLYMA_01G0228001,72,34,172,61
gene:GLYMA_01G022900,0,18,0,29
gene:GLYMA_01G023000,34,249,35,280
gene:GLYMA_01G023100,0,0,0,0
gene:GLYMA_01G023200,67,100,133,165
gene:GLYMA_01G023300,58,209,89,338
gene:GLYMA_01G023400,0,0,0,0
gene:GLYMA_01G023500,74,219,90,283
gene:GLYMA_01G023600,25,39,68,91
gene:GLYMA_01G023700,16,29,17,33
gene:GLYMA_01G023800,18,9,18,9
gene:GLYMA_01G023900,102,110,150,165
gene:GLYMA_01G024000,422,844,614,1068
gene:GLYMA_01G024100,0,0,0,4
gene:GLYMA_01G024200,0,0,0,0
gene:GLYMA_01G024300,0,1,0,1
gene:GLYMA_01G024400,0,0,0,0
gene:GLYMA_01G024500,11,1,12,1
gene:GLYMA_01G024600,172,96,196,106
gene:GLYMA_01G024700,61,49,69,56
gene:GLYMA_01G024800,0,0,0,5
gene:GLYMA_01G024900,0,0,0,1
gene:GLYMA_01G025000,2,1,2,3
gene:GLYMA_01G025100,8363,8480,8936,9028
gene:GLYMA_01G025200,1,3,5,4
gene:GLYMA_01G025300,0,7,1,14
gene:GLYMA_01G025400,1,0,1,0
gene:GLYMA_01G025500,15,30,17,32
gene:GLYMA_01G025600,102,67,111,71
gene:GLYMA_01G025700,0,0,0,0
gene:GLYMA_01G025800,14,22,23,32
gene:GLYMA_01G025900,0,0,0,0
gene:GLYMA_01G026000,54,33,78,52
gene:GLYMA_01G026100,1142,775,1193,828
gene:GLYMA_01G026200,126,367,139,434
gene:GLYMA_01G026300,0,0,11,10
gene:ENSRNA049760882,0,0,2,0
gene:GLYMA_01G026400,59,95,70,106
gene:GLYMA_01G026500,120,51,186,96
gene:GLYMA_01G026600,6,9,13,10
gene:GLYMA_01G026700,216,175,363,401
gene:GLYMA_01G026800,34,33,60,55
gene:GLYMA_01G026900,1,2,1,2
gene:GLYMA_01G027000,0,0,0,0
gene:GLYMA_01G027100,3,4,3,4
gene:GLYMA_01G027200,14,0,14,0
gene:GLYMA_01G027300,46,93,163,309
gene:GLYMA_01G027400,0,0,0,1
gene:GLYMA_01G027500,63,47,99,139
gene:GLYMA_01G027600,0,1,4,2
gene:GLYMA_01G027700,147,38,173,47
gene:GLYMA_01G027800,2,29,4,57
gene:GLYMA_01G027900,2,6,2,12
gene:GLYMA_01G028000,0,0,0,0
gene:GLYMA_01G028100,2,46,6,107
gene:GLYMA_01G028200,1,0,6,4
gene:GLYMA_01G028300,0,6,0,8
gene:GLYMA_01G028400,36,0,56,0
gene:GLYMA_01G028500,1687,11,2237,20
gene:GLYMA_01G028600,11,9,22,15
gene:GLYMA_01G028700,86,72,132,139
gene:GLYMA_01G028800,49,176,60,190
gene:GLYMA_01G028900,100,201,502,801
gene:GLYMA_01G029000,131,134,178,183
gene:GLYMA_01G029100,39,45,51,73
gene:GLYMA_01G029200,434,716,1547,1814
gene:GLYMA_01G029300,0,1,1,1
gene:GLYMA_01G029400,31,36,57,52
gene:GLYMA_01G029500,24,78,70,161
gene:GLYMA_01G029600,277,222,310,237
gene:GLYMA_01G029700,10,3,10,3
gene:GLYMA_01G029800,332,791,802,1425
gene:GLYMA_01G029900,1,2,3,2
gene:GLYMA_01G030000,1,40,4,60
gene:GLYMA_01G030100,0,0,0,0
gene:GLYMA_01G030200,0,5,5,5
gene:GLYMA_01G030300,33,15,77,29
gene:GLYMA_01G030400,9,29,9,29
gene:GLYMA_01G030500,5,10,7,30
gene:GLYMA_01G030600,187,170,267,281
gene:GLYMA_01G030700,1,2,1,2
gene:GLYMA_01G030800,181,204,295,384
gene:GLYMA_01G030900,205,192,234,262
gene:GLYMA_01G031000,0,0,0,0
gene:GLYMA_01G031100,0,0,0,0
gene:GLYMA_01G031200,25,17,28,19
gene:GLYMA_01G031300,8,33,8,35
gene:GLYMA_01G031400,408,372,672,664
gene:GLYMA_01G031500,9,59,37,138
gene:GLYMA_01G031600,0,0,0,0
gene:GLYMA_01G031700,179,238,226,259
gene:GLYMA_01G031800,571,214,856,309
gene:GLYMA_01G031900,40,142,87,237
gene:GLYMA_01G032000,108,72,143,113
gene:GLYMA_01G032100,67,159,130,368
gene:GLYMA_01G032200,1,8,3,12
gene:GLYMA_01G032300,14,16,16,17
gene:GLYMA_01G032400,3,18,3,18
gene:GLYMA_01G032500,419,466,722,854
gene:GLYMA_01G032600,0,0,0,0
gene:GLYMA_01G032700,0,0,0,0
gene:GLYMA_01G032800,0,1,0,1
gene:GLYMA_01G032900,2,8,6,17
gene:GLYMA_01G033000,3,12,6,25
gene:GLYMA_01G033100,0,0,0,7
gene:GLYMA_01G033200,0,2,3,39
gene:GLYMA_01G033300,0,60,3,98
gene:GLYMA_01G033400,0,8,0,16
gene:GLYMA_01G033500,0,1,0,1
gene:GLYMA_01G033600,0,0,8,3
gene:GLYMA_01G0337002,2,10,2,10
gene:GLYMA_01G0337001,2,1,2,1
gene:GLYMA_01G033800,3,261,3,285
gene:GLYMA_01G033900,1,11,1,19
gene:GLYMA_01G034000,0,2,0,2
gene:GLYMA_01G034100,2,10,4,19
gene:GLYMA_01G034200,0,7,0,11
gene:GLYMA_01G034300,4,61,22,96
gene:GLYMA_01G034400,0,3,1,6
gene:GLYMA_01G034500,0,0,0,0
gene:GLYMA_01G034600,9,42,10,43
gene:GLYMA_01G034700,1,0,1,0
gene:GLYMA_01G034800,0,0,0,0
gene:GLYMA_01G034900,1,9,3,14
gene:GLYMA_01G035000,2,2,14,2
gene:GLYMA_01G035100,497,150,957,232
gene:GLYMA_01G035200,0,0,4,3
gene:GLYMA_01G035300,21,24,26,39
gene:GLYMA_01G035400,1,1,1,1
gene:GLYMA_01G035500,5,5,5,9
gene:GLYMA_01G035600,13,5,17,9
gene:GLYMA_01G035700,22,21,28,22
gene:GLYMA_01G035800,0,0,0,0
gene:GLYMA_01G035900,0,0,0,0
gene:GLYMA_01G036000,2,4,2,5
gene:GLYMA_01G036100,0,0,0,0
gene:GLYMA_01G036200,44,22,81,53
gene:GLYMA_01G036300,33,573,37,604
gene:GLYMA_01G036400,0,2,0,2
gene:GLYMA_01G036500,121,122,194,191
gene:GLYMA_01G036600,2,80,2,101
gene:GLYMA_01G036700,164,127,208,186
gene:GLYMA_01G036800,5,142,11,158
gene:GLYMA_01G036900,13,17,15,20
gene:GLYMA_01G037000,3,0,13,0
gene:GLYMA_01G037100,41,0,53,1
gene:GLYMA_01G037200,516,213,558,230
gene:GLYMA_01G037300,172,329,258,518
gene:GLYMA_01G037400,39,26,50,40
gene:GLYMA_01G037500,12,32,39,37
gene:GLYMA_01G037600,6,19,20,22
gene:GLYMA_01G037700,13,82,42,157
gene:GLYMA_01G037800,0,41,0,56
gene:GLYMA_01G037900,135,182,165,226
gene:GLYMA_01G038000,11,15,57,79
gene:GLYMA_01G038100,32,30,38,35
gene:GLYMA_01G038200,18,28,42,42
gene:GLYMA_01G038300,114,190,252,398
gene:GLYMA_01G038400,55,46,69,65
gene:GLYMA_01G038500,419,88,522,130
gene:GLYMA_01G0386002,149,78,174,135
gene:GLYMA_01G038700,2,25,6,38
gene:GLYMA_01G038800,192,176,297,263
gene:GLYMA_01G038900,2,30,3,48
gene:GLYMA_01G039000,0,6,0,6
gene:GLYMA_01G039100,56,59,75,79
gene:GLYMA_01G039200,2,48,4,64
gene:GLYMA_01G039300,0,0,10,27
gene:GLYMA_01G039400,0,2,0,4
gene:GLYMA_01G039500,18,75,24,110
gene:GLYMA_01G039600,23,79,23,80
gene:GLYMA_01G039700,0,0,0,0
gene:GLYMA_01G039800,79,35,141,54
gene:GLYMA_01G039900,3,71,3,79
gene:GLYMA_01G040000,18,59,21,79
gene:GLYMA_01G040100,0,0,0,0
gene:GLYMA_01G040200,0,0,1,5
gene:GLYMA_01G040300,1,29,1,61
gene:GLYMA_01G040400,149,95,245,153
gene:GLYMA_01G040500,10,9,11,10
gene:GLYMA_01G040600,4,2,13,17
gene:GLYMA_01G040700,4,123,6,144
gene:GLYMA_01G040800,0,0,0,0
gene:GLYMA_01G040900,22,60,26,67
gene:GLYMA_01G041000,0,0,0,0
gene:GLYMA_01G041100,0,1,0,6
gene:GLYMA_01G041200,34,27,39,29
gene:GLYMA_01G041300,310,287,488,473
gene:GLYMA_01G041400,3,44,12,106
gene:GLYMA_01G041500,26,9,35,16
gene:GLYMA_01G041600,40,46,85,76
gene:GLYMA_01G041700,8,71,11,111
gene:GLYMA_01G041800,0,0,0,0
gene:GLYMA_01G0419002,0,0,1,0
gene:GLYMA_01G0419001,0,0,0,0
gene:GLYMA_01G042000,0,0,0,0
gene:GLYMA_01G042100,2,15,2,26
gene:GLYMA_01G042200,0,0,0,0
gene:GLYMA_01G042300,181,130,259,168
gene:GLYMA_01G042400,125,124,198,211
gene:GLYMA_01G042500,0,1,32,91
gene:GLYMA_01G042600,0,0,3,3
gene:GLYMA_01G042700,0,0,1,0
gene:GLYMA_01G042800,85,123,159,280
gene:GLYMA_01G042900,52,28,56,32
gene:GLYMA_01G043000,5,4,7,8
gene:GLYMA_01G043100,1,0,14,0
gene:GLYMA_01G043200,0,0,0,0
gene:GLYMA_01G043300,1,12,1,16
gene:GLYMA_01G043400,194,1,258,1
gene:GLYMA_01G043500,3,0,6,0
gene:GLYMA_01G043600,0,11,23,55
gene:GLYMA_01G043700,0,0,0,0
gene:GLYMA_01G043800,27,46,30,61
gene:GLYMA_01G043900,16,26,58,47
gene:GLYMA_01G044000,0,0,0,0
gene:GLYMA_01G044100,75,118,114,207
gene:GLYMA_01G044200,71,43,108,101
gene:GLYMA_01G044300,2,43,7,65
gene:GLYMA_01G044400,0,0,0,0
gene:GLYMA_01G044500,1,3,6,6
gene:GLYMA_01G044600,6,77,17,196
gene:GLYMA_01G044700,0,0,0,0
gene:GLYMA_01G044800,2,3,2,5
gene:GLYMA_01G044900,16,39,41,75
gene:GLYMA_01G045000,11,0,12,0
gene:GLYMA_01G045100,323,233,551,355
gene:GLYMA_01G045200,9,148,9,148
gene:GLYMA_01G045300,34,15,79,55
gene:GLYMA_01G045400,0,2,3,4
gene:GLYMA_01G045500,1,89,1,95
gene:GLYMA_01G045600,0,0,1,3
gene:GLYMA_01G045700,81,35,101,43
gene:GLYMA_01G045800,154,56,231,98
gene:GLYMA_01G045900,0,13,0,17
gene:GLYMA_01G046000,445,73,826,103
gene:GLYMA_01G046100,1,0,6,2
gene:GLYMA_01G046200,176,41,176,41
gene:GLYMA_01G046300,27,251,27,253
gene:GLYMA_01G046400,4,27,5,37
gene:GLYMA_01G046500,442,96,915,254
gene:GLYMA_01G046600,15,0,15,0
gene:GLYMA_01G046700,12,139,47,300
gene:GLYMA_01G046800,0,3,0,4
gene:GLYMA_01G046900,3,2,3,2
gene:GLYMA_01G047000,670,571,1349,1103
gene:GLYMA_01G047100,140,224,208,331
gene:GLYMA_01G047200,4,5,4,5
gene:GLYMA_01G047300,7,9,25,31
gene:GLYMA_01G047400,4,10,7,19
gene:GLYMA_01G047500,0,0,0,0
gene:GLYMA_01G047600,0,3,0,3
gene:GLYMA_01G047700,58,116,133,258
gene:GLYMA_01G047800,0,4,0,5
gene:GLYMA_01G047900,8,5,10,5
gene:GLYMA_01G0480001,18,123,24,171
gene:GLYMA_01G048100,19,10,19,11
gene:GLYMA_01G048200,0,0,0,0
gene:GLYMA_01G048300,0,0,8,2
gene:GLYMA_01G048400,0,256,1,309
gene:GLYMA_01G048500,212,103,265,134
gene:GLYMA_01G048600,0,1,0,1
gene:GLYMA_01G048700,7,67,43,83
gene:GLYMA_01G048800,0,43,1,75
gene:GLYMA_01G048900,0,0,0,3
gene:GLYMA_01G049000,0,0,0,0
gene:GLYMA_01G049100,46,57,97,87
gene:GLYMA_01G049200,0,0,0,1
gene:GLYMA_01G049300,0,0,0,2
gene:GLYMA_01G049400,8,17,10,20
gene:GLYMA_01G049500,0,6,0,7
gene:GLYMA_01G049600,1,1,1,2
gene:GLYMA_01G049700,0,0,75,55
gene:GLYMA_01G049800,0,0,1,5
gene:GLYMA_01G049900,34,26,46,31
gene:GLYMA_01G050000,0,0,0,0
gene:GLYMA_01G050100,135,90,345,192
gene:GLYMA_01G050200,0,0,2,8
gene:GLYMA_01G050300,0,0,0,0
gene:GLYMA_01G050400,39,79,54,106
gene:GLYMA_01G050500,34,86,111,157
gene:GLYMA_01G050600,0,0,1,0
gene:GLYMA_01G050700,0,1,0,6
gene:GLYMA_01G050800,0,0,0,7
gene:GLYMA_01G050900,1,2,2,2
gene:GLYMA_01G051000,0,0,4,9
gene:GLYMA_01G051100,0,1,32,16
gene:GLYMA_01G051200,0,0,0,0
gene:GLYMA_01G051300,1,54,15,116
gene:GLYMA_01G051400,183,333,344,576
gene:GLYMA_01G051500,0,0,1,0
gene:GLYMA_01G051600,0,0,0,0
gene:GLYMA_01G051700,0,0,0,0
gene:GLYMA_01G051800,0,0,0,0
gene:GLYMA_01G051900,0,0,9,0
gene:GLYMA_01G052000,0,0,0,0
gene:GLYMA_01G052100,0,0,0,0
gene:GLYMA_01G052200,72,40,132,85
gene:GLYMA_01G052300,16,40,20,56
gene:GLYMA_01G052400,119,111,189,186
gene:GLYMA_01G052500,4,20,12,29
gene:GLYMA_01G052600,57,95,79,124
gene:GLYMA_01G052700,8,10,14,26
gene:GLYMA_01G052800,20,69,30,104
gene:GLYMA_01G0529002,0,1,1,7
gene:GLYMA_01G0529001,0,0,1,7
gene:GLYMA_01G053000,0,0,0,0
gene:GLYMA_01G053100,10,7,20,17
gene:GLYMA_01G053200,77,51,85,64
gene:GLYMA_01G053300,73,140,112,213
gene:GLYMA_01G053400,2,4,6,8
gene:GLYMA_01G053500,0,0,0,0
gene:GLYMA_01G053600,1,4,9,30
gene:GLYMA_01G053700,11,11,15,13
gene:GLYMA_01G053800,25,204,38,239
gene:GLYMA_01G053900,0,0,46,138
gene:GLYMA_01G054000,198,110,284,198
gene:GLYMA_01G054100,19,5,25,8
gene:GLYMA_01G054200,35,28,44,42
gene:GLYMA_01G054300,40,33,61,52
gene:GLYMA_01G054400,138,236,157,241
gene:GLYMA_01G054500,3,34,3,37
gene:GLYMA_01G054600,0,0,1,0
gene:GLYMA_01G054700,0,0,0,0
gene:GLYMA_01G054800,61,139,75,176
gene:GLYMA_01G054900,14,3,14,5
gene:GLYMA_01G055000,5,0,15,6
gene:GLYMA_01G055100,0,0,0,0
gene:GLYMA_01G055200,0,6,0,8
gene:GLYMA_01G055300,21,19,62,61
gene:GLYMA_01G055400,11,62,13,71
gene:GLYMA_01G055500,40,101,58,155
gene:GLYMA_01G055600,0,0,0,0
gene:GLYMA_01G055700,26,269,41,379
gene:GLYMA_01G055800,0,0,17,28
gene:GLYMA_01G055900,28,39,41,68
gene:GLYMA_01G056000,2,15,2,32
gene:GLYMA_01G056100,22,8,26,8
gene:GLYMA_01G056200,2,0,2,0
gene:GLYMA_01G056300,65,91,121,154
gene:GLYMA_01G056400,0,0,2,0
gene:GLYMA_01G056500,0,0,2,0
gene:GLYMA_01G056600,0,0,0,0
gene:GLYMA_01G056700,0,0,0,0
gene:GLYMA_01G056800,252,8,347,28
gene:GLYMA_01G056900,121,0,147,0
gene:GLYMA_01G057000,0,0,1,2
gene:GLYMA_01G057100,131,317,302,701
gene:GLYMA_01G057200,0,0,0,0
gene:GLYMA_01G057300,0,0,0,0
gene:GLYMA_01G057400,132,102,147,117
gene:GLYMA_01G057500,26,47,53,95
gene:GLYMA_01G057600,25,11,30,13
gene:GLYMA_01G057700,19,1,19,2
gene:GLYMA_01G057800,0,0,0,0
gene:GLYMA_01G057900,0,0,0,0
gene:GLYMA_01G058000,89,417,252,805
gene:GLYMA_01G058100,8,9,8,9
gene:GLYMA_01G058200,245,106,330,176
gene:GLYMA_01G058300,95,141,177,287
gene:GLYMA_01G058400,4,2,6,5
gene:GLYMA_01G058500,236,200,363,327
gene:GLYMA_01G058600,1,4,1,4
gene:GLYMA_01G058700,0,0,18,4
gene:GLYMA_01G058800,0,0,9,17
gene:GLYMA_01G058900,0,0,2,0
gene:GLYMA_01G059000,4,0,18,3
gene:GLYMA_01G059100,6,2,9,4
gene:GLYMA_01G059200,10,20,15,27
gene:GLYMA_01G059300,0,0,5,2
gene:GLYMA_01G059400,0,0,1,2
gene:GLYMA_01G059500,0,0,0,0
gene:GLYMA_01G059600,0,0,0,0
gene:GLYMA_01G059700,0,0,0,0
gene:GLYMA_01G059800,0,0,0,0
gene:GLYMA_01G059900,14,3,22,6
gene:GLYMA_01G060000,0,0,0,0
gene:GLYMA_01G060100,0,0,0,0
gene:GLYMA_01G060200,0,0,0,0
gene:GLYMA_01G060300,98,124,124,169
gene:GLYMA_01G060400,0,0,1,1
gene:GLYMA_01G060500,0,0,1,17
gene:GLYMA_01G060600,0,0,9,48
gene:GLYMA_01G060700,120,81,177,112
gene:GLYMA_01G060800,0,0,0,0
gene:GLYMA_01G060900,474,509,725,713
gene:GLYMA_01G061000,13,5,28,6
gene:GLYMA_01G061100,648,167,784,210
gene:GLYMA_01G061200,0,0,0,0
gene:GLYMA_01G061300,0,0,5,9
gene:GLYMA_01G061400,0,0,4,4
gene:GLYMA_01G061500,150,105,315,328
gene:GLYMA_01G061600,0,3,2,8
gene:GLYMA_01G061700,57,56,119,179
gene:GLYMA_01G061800,187,371,187,373
gene:GLYMA_01G061900,0,0,0,2
gene:GLYMA_01G062000,27,129,50,210
gene:GLYMA_01G062100,13,8,25,17
