	Glycine_max.Glycine_max_v2.0.pep.all.fa	Lj3.0_pep.fa	Lupinus_angustifolius.LupAngTanjil_v1.0.pep.all.fa	Medicago_truncatula.MedtrA17_4.0.pep.all.fa	Phaseolus_vulgaris.PhaVulg1_0.pep.all.fa
OG0020489	KRH46584				
OG0020490	KRH46583				
OG0020491	KRH42959				
OG0020492	KRH43763				
OG0020493	KRH43764				
OG0020494	KRH43762				
OG0020495	KRH44621				
OG0020496	KRH44625				
OG0020497	KRH44624				
OG0020498	KRH44616				
OG0020499	KRH44619				
OG0020500	KRH44622				
OG0020501	KRH44620				
OG0020502	KRH44623				
OG0020503	KRH45377				
OG0020504	KRH46299				
OG0020505	KRH45255				
OG0020506	KRH45384				
OG0020507	KRH45762				
OG0020508	KRH46282				
OG0020509	KRH44214				
OG0020510	KRH45687				
OG0020511	KRH45686				
OG0020512	KRH45176				
OG0020513	KRH45175				
OG0020514	KRH45816				
OG0020515	KRH45817				
OG0020516	KRH42753				
OG0020517	KRH42752				
OG0020518	KRH42751				
OG0020519	KRH40932				
OG0020520	KRH46566				
OG0020521	KRH41014				
OG0020522	KRH41013				
OG0020523	KRH41012				
OG0020524	KRH44102				
OG0020525	KRH44485				
OG0020526	KRH42620				
OG0020527	KRH42619				
OG0020528	KRH46163				
OG0020529	KRH46165				
OG0020530	KRH46164				
OG0020531	KRH46162				
OG0020532	KRH43088				
OG0020533	KRH45611				
OG0020534	KRH44188				
OG0020535	KRH44190				
OG0020536	KRH44187				
OG0020537	KRH44189				
OG0020538	KRH41404				
OG0020539	KRH41403				
OG0020540	KRH45118				
OG0020541	KRH43992				
OG0020542	KRH46289				
OG0020543	KRH46200				
OG0020544	KRH46199				
OG0020545	KRH40997				
OG0020546	KRH40995				
OG0020547	KRH41028				
OG0020548	KRH44491				
OG0020549	KRH44492				
OG0020550	KRH44490				
OG0020551	KRH44493				
OG0020552	KRH44489				
OG0020553	KRH44494				
OG0020554	KRH46579				
OG0020555	KRH46054				
OG0020556	KRH41949				
OG0020557	KRH46850				
OG0020558	KRH46849				
OG0020559	KRH46280				
OG0020560	KRH44697				
OG0020561	KRH45257				
OG0020562	KRH45256				
OG0020563	KRH45400				
OG0020564	KRH45398				
OG0020565	KRH45397				
OG0020566	KRH45395				
OG0020567	KRH45401				
OG0020568	KRH45399				
OG0020569	KRH45396				
OG0020570	KRH45962				
OG0020571	KRH45966				
OG0020572	KRH45968				
OG0020573	KRH45971				
OG0020574	KRH45964				
OG0020575	KRH45963				
OG0020576	KRH45969				
OG0020577	KRH45970				
OG0020578	KRH45965				
OG0020579	KRH45967				
OG0020580	KRH41442				
OG0020581	KRH46522				
OG0020582	KRH45085				
OG0020583	KRH43233				
OG0020584	KRH43232				
OG0020585	KRH46415				
OG0020586	KRH44826				
OG0020587	KRH43756				
OG0020588	KRH45486				
OG0020589	KRH45491				
OG0020590	KRH45483				
OG0020591	KRH45484				
OG0020592	KRH45482				
OG0020593	KRH45489				
OG0020594	KRH45485				
OG0020595	KRH45487				
OG0020596	KRH45488				
OG0020597	KRH45490				
OG0020598	KRH45492				
OG0020599	KRH46037				
OG0020600	KRH43886				
OG0020601	KRH40948				
OG0020602	KRH40949				
OG0020603	KRH41421				
OG0020604	KRH42013				
OG0020605	KRH42012				
OG0020606	KRH42610				
OG0020607	KRH45825				
OG0020608	KRH45824				
OG0020609	KRH45565				
OG0020610	KRH42195				
OG0020611	KRH44980				
OG0020612	KRH46209				
OG0020613	KRH42150				
OG0020614	KRH42147				
OG0020615	KRH42151				
OG0020616	KRH42146				
OG0020617	KRH42149				
OG0020618	KRH42428				
OG0020619	KRH40992				
OG0020620	KRH42300				
OG0020621	KRH43508				
OG0020622	KRH43507				
OG0020623	KRH45028				
OG0020624	KRH45026				
OG0020625	KRH45027				
OG0020626	KRH45029				
OG0020627	KRH45025				
OG0020628	KRH45032				
OG0020629	KRH45030				
OG0020630	KRH45849				
OG0020631	KRH41539				
OG0020632	KRH41538				
OG0020633	KRH44053				
OG0020634	KRH44052				
OG0020635	KRH46256				
OG0020636	KRH41934				
OG0020637	KRH43415				
OG0020638	KRH46142				
OG0020639	KRH46143				
OG0020640	KRH45443				
OG0020641	KRH45441				
OG0020642	KRH45442				
OG0020643	KRH44746				
OG0020644	KRH44748				
OG0020645	KRH41612				
OG0020646	KRH41611				
OG0020647	KRH45662				
OG0020648	KRH42757				
OG0020649	KRH43362				
OG0020650	KRH43360				
OG0020651	KRH43361				
OG0020652	KRH43363				
OG0020653	KRH43358				
OG0020654	KRH43359				
OG0020655	KRH43357				
OG0020656	KRH45876				
OG0020657	KRH40990				
OG0020658	KRH40978				
OG0020659	KRH40979				
OG0020660	KRH46873				
OG0020661	KRH43885				
OG0020662	KRH41592				
OG0020663	KRH41593				
OG0020664	KRH41591				
OG0020665	KRH41594				
OG0020666	KRH43098				
OG0020667	KRH43097				
OG0020668	KRH45543				
OG0020669	KRH43594				
OG0020670	KRH43130				
OG0020671	KRH43131				
OG0020672	KRH43128				
OG0020673	KRH43129				
OG0020674	KRH46494				
OG0020675	KRH45409				
OG0020676	KRH45408				
OG0020677	KRH43781				
OG0020678	KRH45020				
OG0020679	KRH45014				
OG0020680	KRH45023				
OG0020681	KRH45018				
OG0020682	KRH45017				
OG0020683	KRH45021				
OG0020684	KRH45015				
OG0020685	KRH45016				
OG0020686	KRH45019				
OG0020687	KRH45022				
OG0020688	KRH45038				
OG0020689	KRH45036				
OG0020690	KRH45037				
OG0020691	KRH45907				
OG0020692	KRH45908				
OG0020693	KRH45909				
OG0020694	KRH45910				
OG0020695	KRH41528				
OG0020696	KRH41526				
OG0020697	KRH45316				
OG0020698	KRH45317				
OG0020699	KRH45315				
OG0020700	KRH41098				
OG0020701	KRH45703				
OG0020702	KRH45702				
OG0020703	KRH40942				
OG0020704	KRH40941				
OG0020705	KRH44983				
OG0020706	KRH42503				
OG0020707	KRH43381				
OG0020708	KRH44555				
OG0020709	KRH44556				
OG0020710	KRH44421				
OG0020711	KRH45355				
OG0020712	KRH45357				
OG0020713	KRH45354				
OG0020714	KRH43294				
OG0020715	KRH43295				
OG0020716	KRH43292				
OG0020717	KRH43293				
OG0020718	KRH43291				
OG0020719	KRH42446				
OG0020720	KRH42445				
OG0020721	KRH42444				
OG0020722	KRH42442				
OG0020723	KRH42443				
OG0020724	KRH46904				
OG0020725	KRH44135				
OG0020726	KRH44136				
OG0020727	KRH44942				
OG0020728	KRH44943				
OG0020729	KRH41790				
OG0020730	KRH41789				
OG0020731	KRH41788				
OG0020732	KRH43782				
OG0020733	KRH44331				
OG0020734	KRH44333				
OG0020735	KRH44332				
OG0020736	KRH41424				
OG0020737	KRH46897				
OG0020738	KRH41749				
OG0020739	KRH45065				
OG0020740	KRH46634				
OG0020741	KRH46875				
OG0020742	KRH43715				
OG0020743	KRH46509				
OG0020744	KRH45242				
OG0020745	KRH46294				
OG0020746	KRH46293				
OG0020747	KRH41846				
OG0020748	KRH45436				
OG0020749	KRH45438				
OG0020750	KRH42536				
OG0020751	KRH45783				
OG0020752	KRH45784				
OG0020753	KRH45423				
OG0020754	KRH43216				
OG0020755	KRH45295				
OG0020756	KRH41711				
OG0020757	KRH42982				
OG0020758	KRH42983				
OG0020759	KRH43075				
OG0020760	KRH46511				
OG0020761	KRH43199				
OG0020762	KRH43201				
OG0020763	KRH43200				
OG0020764	KRH43198				
OG0020765	KRH46500				
OG0020766	KRH41689				
OG0020767	KRH41688				
OG0020768	KRH43069				
OG0020769	KRH44875				
OG0020770	KRH44877				
OG0020771	KRH44107				
OG0020772	KRH44566				
OG0020773	KRH41234				
OG0020774	KRH41235				
OG0020775	KRH41590				
OG0020776	KRH44472				
OG0020777	KRH44471				
OG0020778	KRH46385				
OG0020779	KRH46387				
OG0020780	KRH45625				
OG0020781	KRH45622				
OG0020782	KRH45624				
OG0020783	KRH45623				
OG0020784	KRH46257				
OG0020785	KRH41072				
OG0020786	KRH45301				
OG0020787	KRH45302				
OG0020788	KRH41458				
OG0020789	KRH41457				
OG0020790	KRH41247				
OG0020791	KRH45207				
OG0020792	KRH46804				
OG0020793	KRH43460				
OG0020794	KRH44580				
OG0020795	KRH41858				
OG0020796	KRH41859				
OG0020797	KRH43753				
OG0020798	KRH46554				
OG0020799	KRH44558				
OG0020800	KRH41856				
OG0020801	KRH41855				
OG0020802	KRH41854				
OG0020803	KRH46043				
OG0020804	KRH46044				
OG0020805	KRH46045				
OG0020806	KRH43076				
OG0020807	KRH43077				
OG0020808	KRH44438				
OG0020809	KRH44440				
OG0020810	KRH44439				
OG0020811	KRH43659				
OG0020812	KRH44064				
OG0020813	KRH42985				
OG0020814	KRH44171				
OG0020815	KRH44174				
OG0020816	KRH44175				
OG0020817	KRH44170				
OG0020818	KRH44172				
OG0020819	KRH44173				
OG0020820	KRH41189				
OG0020821	KRH44111				
OG0020822	KRH44109				
OG0020823	KRH44110				
OG0020824	KRH45508				
OG0020825	KRH43399				
OG0020826	KRH43398				
OG0020827	KRH44129				
OG0020828	KRH46354				
OG0020829	KRH46011				
OG0020830	KRH45462				
OG0020831	KRH45463				
OG0020832	KRH45465				
OG0020833	KRH45464				
OG0020834	KRH45461				
OG0020835	KRH46260				
OG0020836	KRH46894				
OG0020837	KRH45501				
OG0020838	KRH44252				
OG0020839	KRH43795				
OG0020840	KRH43794				
OG0020841	KRH46568				
OG0020842	KRH42035				
OG0020843	KRH42037				
OG0020844	KRH42036				
OG0020845	KRH42246				
OG0020846	KRH44829				
OG0020847	KRH44831				
OG0020848	KRH44832				
OG0020849	KRH44830				
OG0020850	KRH44881				
OG0020851	KRH44880				
OG0020852	KRH44882				
OG0020853	KRH45322				
OG0020854	KRH41202				
OG0020855	KRH44638				
OG0020856	KRH41717				
OG0020857	KRH41718				
OG0020858	KRH41716				
OG0020859	KRH46557				
OG0020860	KRH40951				
OG0020861	KRH40952				
OG0020862	KRH40954				
OG0020863	KRH46284				
OG0020864	KRH43299				
OG0020865	KRH42104				
OG0020866	KRH44223				
OG0020867	KRH41091				
OG0020868	KRH41089				
OG0020869	KRH41090				
OG0020870	KRH44907				
OG0020871	KRH42416				
OG0020872	KRH42418				
OG0020873	KRH42419				
OG0020874	KRH42417				
OG0020875	KRH44931				
OG0020876	KRH46713				
OG0020877	KRH46712				
OG0020878	KRH43623				
OG0020879	KRH43622				
OG0020880	KRH44645				
OG0020881	KRH43761				
OG0020882	KRH41807				
OG0020883	KRH41806				
OG0020884	KRH41805				
OG0020885	KRH45337				
OG0020886	KRH41673				
OG0020887	KRH41669				
OG0020888	KRH41668				
OG0020889	KRH41672				
OG0020890	KRH41671				
OG0020891	KRH41667				
OG0020892	KRH41666				
OG0020893	KRH41670				
OG0020894	KRH44565				
OG0020895	KRH44564				
OG0020896	KRH43800				
OG0020897	KRH43696				
OG0020898	KRH42844				
OG0020899	KRH45978				
OG0020900	KRH44096				
OG0020901	KRH44091				
OG0020902	KRH44211				
OG0020903	KRH44208				
OG0020904	KRH44213				
OG0020905	KRH44210				
OG0020906	KRH44212				
OG0020907	KRH41786				
OG0020908	KRH46268				
OG0020909	KRH46504				
OG0020910	KRH46888				
OG0020911	KRH45390				
OG0020912	KRH43389				
OG0020913	KRH42575				
OG0020914	KRH42197				
OG0020915	KRH42886				
OG0020916	KRH44312				
OG0020917	KRH42936				
OG0020918	KRH46213				
OG0020919	KRH43828				
OG0020920	KRH43831				
OG0020921	KRH43830				
OG0020922	KRH43829				
OG0020923	KRH46238				
OG0020924	KRH43093				
OG0020925	KRH41614				
OG0020926	KRH41615				
OG0020927	KRH44180				
OG0020928	KRH44182				
OG0020929	KRH43984				
OG0020930	KRH43985				
OG0020931	KRH45610				
OG0020932	KRH42107				
OG0020933	KRH43387				
OG0020934	KRH43385				
OG0020935	KRH41616				
OG0020936	KRH44740				
OG0020937	KRH41064				
OG0020938	KRH41065				
OG0020939	KRH41397				
OG0020940	KRH43789				
OG0020941	KRH42547				
OG0020942	KRH43725				
OG0020943	KRH42110				
OG0020944	KRH42966				
OG0020945	KRH42965				
OG0020946	KRH41325				
OG0020947	KRH41327				
OG0020948	KRH42464				
OG0020949	KRH42465				
OG0020950	KRH42463				
OG0020951	KRH44872				
OG0020952	KRH43709				
OG0020953	KRH46223				
OG0020954	KRH42567				
OG0020955	KRH45748				
OG0020956	KRH45747				
OG0020957	KRH43094				
OG0020958	KRH42760				
OG0020959	KRH46381				
OG0020960	KRH46382				
OG0020961	KRH46858				
OG0020962	KRH44643				
OG0020963	KRH45359				
OG0020964	KRH46665				
OG0020965	KRH45184				
OG0020966	KRH45680				
OG0020967	KRH43796				
OG0020968	KRH45869				
OG0020969	KRH44313				
OG0020970	KRH44314				
OG0020971	KRH46493				
OG0020972	KRH41144				
OG0020973	KRH41143				
OG0020974	KRH41142				
OG0020975	KRH41141				
OG0020976	KRH41472				
OG0020977	KRH41473				
OG0020978	KRH44739				
OG0020979	KRH44738				
OG0020980	KRH46954				
OG0020981	KRH43400				
OG0020982	KRH42372				
OG0020983	KRH42373				
OG0020984	KRH42375				
OG0020985	KRH42374				
OG0020986	KRH42376				
OG0020987	KRH46019				
OG0020988	KRH45105				
OG0020989	KRH45776				
OG0020990	KRH45775				
OG0020991	KRH46406				
OG0020992	KRH43730				
OG0020993	KRH43729				
OG0020994	KRH42288				
OG0020995	KRH42289				
OG0020996	KRH41380				
OG0020997	KRH41379				
OG0020998	KRH45791				
OG0020999	KRH41580				
OG0021000	KRH44003				
OG0021001	KRH46184				
OG0021002	KRH46930				
OG0021003	KRH44884				
OG0021004	KRH42558				
OG0021005	KRH44119				
OG0021006	KRH41654				
OG0021007	KRH45706				
OG0021008	KRH42676				
OG0021009	KRH46095				
OG0021010	KRH41540				
OG0021011	KRH45847				
OG0021012	KRH41295				
OG0021013	KRH44239				
OG0021014	KRH43404				
OG0021015	KRH44044				
OG0021016	KRH44043				
OG0021017	KRH44045				
OG0021018	KRH41297				
OG0021019	KRH46933				
OG0021020	KRH45371				
OG0021021	KRH43602				
OG0021022	KRH43601				
OG0021023	KRH45561				
OG0021024	KRH44468				
OG0021025	KRH45303				
OG0021026	KRH44792				
OG0021027	KRH42124				
OG0021028	KRH42126				
OG0021029	KRH44264				
OG0021030	KRH44285				
OG0021031	KRH43860				
OG0021032	KRH43989				
OG0021033	KRH42031				
OG0021034	KRH45658				
OG0021035	KRH46320				
OG0021036	KRH46321				
OG0021037	KRH45473				
OG0021038	KRH45448				
OG0021039	KRH45446				
OG0021040	KRH45444				
OG0021041	KRH45447				
OG0021042	KRH45445				
OG0021043	KRH46879				
OG0021044	KRH43691				
OG0021045	KRH44807				
OG0021046	KRH42827				
OG0021047	KRH41196				
OG0021048	KRH41195				
OG0021049	KRH46056				
OG0021050	KRH44238				
OG0021051	KRH43552				
OG0021052	KRH42281				
OG0021053	KRH41453				
OG0021054	KRH44352				
OG0021055	KRH43856				
OG0021056	KRH41230				
OG0021057	KRH43054				
OG0021058	KRH43053				
OG0021059	KRH43052				
OG0021060	KRH41536				
OG0021061	KRH41537				
OG0021062	KRH41777				
OG0021063	KRH44376				
OG0021064	KRH44377				
OG0021065	KRH44379				
OG0021066	KRH44378				
OG0021067	KRH43949				
OG0021068	KRH45685				
OG0021069	KRH41909				
OG0021070	KRH41908				
OG0021071	KRH42020				
OG0021072	KRH42912				
OG0021073	KRH42913				
OG0021074	KRH42911				
OG0021075	KRH44692				
OG0021076	KRH45566				
OG0021077	KRH45586				
OG0021078	KRH45427				
OG0021079	KRH41886				
OG0021080	KRH42628				
OG0021081	KRH42759				
OG0021082	KRH41312				
OG0021083	KRH41268				
OG0021084	KRH41271				
OG0021085	KRH41269				
OG0021086	KRH41270				
OG0021087	KRH43392				
OG0021088	KRH41390				
OG0021089	KRH44398				
OG0021090	KRH46855				
OG0021091	KRH43942				
OG0021092	KRH43943				
OG0021093	KRH43944				
OG0021094	KRH44343				
OG0021095	KRH44342				
OG0021096	KRH43013				
OG0021097	KRH45402				
OG0021098	KRH44116				
OG0021099	KRH44117				
OG0021100	KRH41056				
OG0021101	KRH46255				
OG0021102	KRH46254				
OG0021103	KRH46059				
OG0021104	KRH41723				
OG0021105	KRH44048				
OG0021106	KRH41479				
OG0021107	KRH44583				
OG0021108	KRH44584				
OG0021109	KRH44582				
OG0021110	KRH41337				
OG0021111	KRH41338				
OG0021112	KRH45221				
OG0021113	KRH43937				
OG0021114	KRH46699				
OG0021115	KRH45507				
OG0021116	KRH45506				
OG0021117	KRH46351				
OG0021118	KRH43638				
OG0021119	KRH43636				
OG0021120	KRH43637				
OG0021121	KRH44335				
OG0021122	KRH41798				
OG0021123	KRH41126				
OG0021124	KRH41127				
OG0021125	KRH45764				
OG0021126	KRH46902				
OG0021127	KRH43506				
OG0021128	KRH42496				
OG0021129	KRH42499				
OG0021130	KRH42497				
OG0021131	KRH42498				
OG0021132	KRH42316				
OG0021133	KRH43847				
OG0021134	KRH44718				
OG0021135	KRH44717				
OG0021136	KRH45068				
OG0021137	KRH44154				
OG0021138	KRH45403				
OG0021139	KRH43220				
OG0021140	KRH43221				
OG0021141	KRH41864				
OG0021142	KRH41865				
OG0021143	KRH41867				
OG0021144	KRH42790				
OG0021145	KRH43177				
OG0021146	KRH43176				
OG0021147	KRH43912				
OG0021148	KRH43481				
OG0021149	KRH46062				
OG0021150	KRH41719				
OG0021151	KRH45840				
OG0021152	KRH45841				
OG0021153	KRH45674				
OG0021154	KRH45675				
OG0021155	KRH43664				
OG0021156	KRH44249				
OG0021157	KRH44250				
OG0021158	KRH42068				
OG0021159	KRH41523				
OG0021160	KRH42055				
OG0021161	KRH42181				
OG0021162	KRH45495				
OG0021163	KRH45564				
OG0021164	KRH41069				
OG0021165	KRH41068				
OG0021166	KRH46057				
OG0021167	KRH46058				
OG0021168	KRH46079				
OG0021169	KRH45975				
OG0021170	KRH45976				
OG0021171	KRH42387				
OG0021172	KRH42386				
OG0021173	KRH43354				
OG0021174	KRH42735				
OG0021175	KRH46508				
OG0021176	KRH46735				
OG0021177	KRH44191				
OG0021178	KRH42553				
OG0021179	KRH45304				
OG0021180	KRH45936				
OG0021181	KRH45935				
OG0021182	KRH41938				
OG0021183	KRH45145				
OG0021184	KRH42544				
OG0021185	KRH42933				
OG0021186	KRH41965				
OG0021187	KRH46887				
OG0021188	KRH44761				
OG0021189	KRH44089				
OG0021190	KRH42736				
OG0021191	KRH42737				
OG0021192	KRH43716				
OG0021193	KRH44143				
OG0021194	KRH44144				
OG0021195	KRH45519				
OG0021196	KRH45517				
OG0021197	KRH45520				
OG0021198	KRH45518				
OG0021199	KRH44051				
OG0021200	KRH45300				
OG0021201	KRH45299				
OG0021202	KRH46305				
OG0021203	KRH46302				
OG0021204	KRH46304				
OG0021205	KRH46303				
OG0021206	KRH43923				
OG0021207	KRH45168				
OG0021208	KRH45143				
OG0021209	KRH44419				
OG0021210	KRH44418				
OG0021211	KRH44879				
OG0021212	KRH41092				
OG0021213	KRH40940				
OG0021214	KRH45587				
OG0021215	KRH45182				
OG0021216	KRH42662				
OG0021217	KRH42663				
OG0021218	KRH45716				
OG0021219	KRH41308				
OG0021220	KRH42615				
OG0021221	KRH41943				
OG0021222	KRH45906				
OG0021223	KRH43576				
OG0021224	KRH43577				
OG0021225	KRH42868				
OG0021226	KRH43182				
OG0021227	KRH42627				
OG0021228	KRH44518				
OG0021229	KRH42270				
OG0021230	KRH44640				
OG0021231	KRH46550				
OG0021232	KRH41339				
OG0021233	KRH41340				
OG0021234	KRH42780				
OG0021235	KRH45369				
OG0021236	KRH44648				
OG0021237	KRH42515				
OG0021238	KRH42516				
OG0021239	KRH41163				
OG0021240	KRH41162				
OG0021241	KRH44817				
OG0021242	KRH43775				
OG0021243	KRH44437				
OG0021244	KRH42265				
OG0021245	KRH43467				
OG0021246	KRH44818				
OG0021247	KRH41438				
OG0021248	KRH41522				
OG0021249	KRH45865				
OG0021250	KRH45863				
OG0021251	KRH45861				
OG0021252	KRH45862				
OG0021253	KRH45864				
OG0021254	KRH45866				
OG0021255	KRH41704				
